date,company,sector,role,role_type,channel,status,contact_person,fit_rating,notes,cv_file,cover_letter_file,source
2026-07-06,QS Quest Global Markets (client undisclosed - construction group),Construction,Financial Controller,Financial Controller,GulfTalent,applied,,75 Good Fit,Applied 2026-07-07 via direct link,cv/main_financialcontroller_construction.tex,cover_letters/cover_qsquestglobalmarkets_financialcontroller.tex,https://www.gulftalent.com/saudi-arabia/jobs/financial-controller-461792
2026-07-06,Edge Resourcing (client undisclosed - real estate developer),Real Estate,Project Financial Controller,Financial Controller,GulfTalent,drafted,,56 Moderate Fit,Real estate IFRS domain gap (IFRS 3/13 IAS 27/28/40),cv/main_financialcontroller_construction.tex,cover_letters/cover_qsquestglobalmarkets_financialcontroller.tex,https://www.gulftalent.com/saudi-arabia/jobs/project-financial-controller-107296
2026-07-06,Shea'r International Co. Ltd. (NESMA Holdings),Manufacturing (steel foundry),Finance Manager,Finance Manager,Bayt,applied,,84 Strong Fit,Applied 2026-07-07 via bayt.com search,cv/main_shearinternational_financemanager.tex,cover_letters/cover_shearinternational_financemanager.tex,bayt.com finance-manager-jobs-in-jeddah
2026-07-06,Metals and plastics manufacturer (name undisclosed),Manufacturing,Finance Manager,Finance Manager,Bayt,applied,,79 Strong Fit,Applied 2026-07-07 via bayt.com search,cv/main_metalsplastics_financemanager.tex,cover_letters/cover_metalsplastics_financemanager.tex,bayt.com finance-manager-jobs-in-jeddah
2026-07-06,Heavy manufacturing company (name undisclosed),Manufacturing,Finance Director / Chief Accountant,Finance Director,Bayt,drafted,,80 Strong Fit (Director-level stretch),Includes MBA/PhD-in-progress credentials,cv/main_financedirector_heavymanufacturing.tex,cover_letters/cover_financedirector_heavymanufacturing.tex,bayt.com finance-jobs-in-jeddah
2026-07-06,Electrical supplies company (name undisclosed),Industrial/Trade,Financial Affairs Manager,Finance Manager,Bayt,drafted,,78 Strong Fit,,cv/main_financialaffairsmanager_electrical.tex,cover_letters/cover_financialaffairsmanager_electrical.tex,bayt.com finance-jobs
2026-07-06,Global manufacturing business (name undisclosed),Manufacturing,Finance Controller,Financial Controller,Bayt,drafted,,70 Good Fit,Dammam location,cv/main_financecontroller_dammam.tex,cover_letters/cover_financecontroller_dammam.tex,bayt.com jobs-in-dammam
2026-07-06,NEOM,Giga-project,Senior FP&A Analyst,FP&A,NEOM Careers,applied,,85 Strong Fit,Applied 2026-07-07; PIF giga-project; AI/MBA angle relevant,cv/main_neom_seniorfpaanalyst.tex,cover_letters/cover_neom_seniorfpaanalyst.tex,https://careers.neom.com/careers/job/563087397036325-senior-fp-a-analyst-neom-saudi-arabia
2026-07-06,Client of Michael Page (technology industry),Technology,"VP, Financial Planning",FP&A,Michael Page,drafted,,65 Ambitious stretch,VP-level and industry stretch; MBA/PhD angle used to bridge,cv/main_michaelpage_vpfinancialplanning.tex,cover_letters/cover_michaelpage_vpfinancialplanning.tex,michaelpage.ae/jobs/vice-president/finance-accounting
2026-07-07,NEOM,Giga-project,FP&A Manager,FP&A,NEOM Careers,closed,,85 Strong Fit,Posting closed before application - user confirmed,,,https://careers.neom.com/careers/job/563087404867846
2026-07-24,SADAFCO (Saudia Dairy and Foodstuff Company),Manufacturing (FMCG/dairy),Finance Control Manager,Finance Manager,Bayt,closed,,80 Strong Fit,Expired/no longer accepting applications - confirmed by user screenshot 2026-07-24,cv/main_sadafco_financecontrolmanager.tex,cover_letters/cover_sadafco_financecontrolmanager.tex,https://www.bayt.com/en/saudi-arabia/jobs/finance-control-manager-5433887/
2026-07-24,Ignite Search & Selection (client undisclosed - main contracting/construction),Construction,Chief Accountant/Accounting Manager,Chief Accountant,GulfTalent,skipped,,35 Weak Fit,Requires 10y Gulf main-contracting construction background specifically - domain mismatch,,,https://www.gulftalent.com/saudi-arabia/jobs/chief-accountant-accounting-manager-350154
2026-07-24,Client of Aroma City Group (metals manufacturing & trading group),Manufacturing (metals/recycling),FP&A Manager,FP&A,Aroma City Group,applied,,78 Strong Fit,Applied 2026-07-24; Dammam; real verified Bahrain-based recruiter; LME/scrap pricing exposure is new specific,cv/main_aromacity_fpamanager_metals.tex,cover_letters/cover_aromacity_fpamanager_metals.tex,https://www.aromacitygroup.com/apply.aspx?id=14081
2026-07-24,Client of Aroma City Group (entertainment sector group),Entertainment,Financial Controller,Financial Controller,Aroma City Group,drafted,,73 Good Fit,Jeddah; reports to Finance Director/CFO; SAR 32-40k/month; posted 05/05/2026; entertainment domain gap,cv/main_aromacity_financialcontroller_entertainment.tex,cover_letters/cover_aromacity_financialcontroller_entertainment.tex,https://www.aromacitygroup.com/apply.aspx?id=14239
